area,file,line,col,callee,ignore_comment
package,packages/ai/src/hooks.ts,395,3,useEffect,prev-line
package,packages/ai/src/mcp/hook.ts,46,3,useEffect,prev-line
package,packages/apis/src/base.ts,45,3,useEffect,prev-line
package,packages/apis/src/settings.ts,42,3,useEffect,prev-line
package,packages/apis/src/useServiceKey.ts,59,3,useEffect,prev-line
package,packages/apis/src/useServiceKey.ts,108,3,useEffect,prev-line
package,packages/core/src/animation.ts,201,3,useEffect,prev-line
package,packages/core/src/animation.ts,234,3,useEffect,prev-line
package,packages/core/src/FlatList.tsx,132,3,useEffect,prev-line
package,packages/core/src/FlatList.tsx,141,3,useEffect,prev-line
package,packages/core/src/hooks.ts,29,3,useEffect,prev-line
package,packages/core/src/hooks.ts,72,3,useEffect,prev-line
package,packages/core/src/hooks.ts,114,3,useEffect,prev-line
package,packages/core/src/hooks.ts,157,3,useEffect,prev-line
package,packages/core/src/hooks.ts,183,3,useEffect,prev-line
package,packages/core/src/hooks.ts,210,3,useEffect,prev-line
package,packages/core/src/hooks.ts,247,3,useEffect,prev-line
package,packages/core/src/hooks.ts,272,3,useEffect,prev-line
package,packages/core/src/hooks.ts,310,3,useEffect,prev-line
package,packages/core/src/hooks.ts,373,3,useEffect,prev-line
package,packages/core/src/hooks.ts,455,3,useEffect,prev-line
package,packages/core/src/hooks.ts,534,3,useEffect,prev-line
package,packages/core/src/hooks.ts,610,3,useEffect,prev-line
package,packages/core/src/hooks.ts,675,3,useEffect,prev-line
package,packages/core/src/Modal.tsx,41,3,useEffect,prev-line
package,packages/core/src/overlay.ts,31,3,useEffect,prev-line
package,packages/core/src/overlay.ts,36,3,useEffect,prev-line
package,packages/core/src/Portal.tsx,80,3,useEffect,prev-line
package,packages/core/src/Pressable.tsx,98,3,useEffect,prev-line
package,packages/core/src/ScaleContext.tsx,56,3,useEffect,prev-line
package,packages/core/src/ScaleContext.tsx,70,3,useEffect,prev-line
package,packages/core/src/useAndroidVM.ts,45,3,useEffect,prev-line
package,packages/core/src/useBreakpoint.ts,107,3,useEffect,prev-line
package,packages/core/src/useBreakpoint.ts,125,3,useEffect,prev-line
package,packages/core/src/useBreakpoint.ts,146,3,useEffect,prev-line
package,packages/core/src/useCapabilities.ts,28,3,useEffect,prev-line
package,packages/core/src/useEvents.ts,172,3,useEffect,prev-line
package,packages/core/src/useFleet.ts,125,3,useEffect,prev-line
package,packages/core/src/useGifRecorder.ts,47,3,useEffect,prev-line
package,packages/core/src/useHotState.ts,63,3,useEffect,prev-line
package,packages/core/src/useIFTTT.ts,350,3,useEffect,prev-line
package,packages/core/src/useIFTTT.ts,445,3,useEffect,prev-line
package,packages/core/src/useLatch.ts,48,3,useEffect,prev-line
package,packages/core/src/useLocalStore.ts,41,3,useEffect,prev-line
package,packages/core/src/useLuaEffect.ts,95,3,useEffect,
package,packages/core/src/useLuaEffect.ts,142,3,useEffect,
package,packages/core/src/useLuaEffect.ts,185,3,useEffect,
package,packages/core/src/usePorts.ts,100,3,useEffect,prev-line
package,packages/core/src/useRecorder.ts,65,3,useEffect,prev-line
package,packages/core/src/useScrape.ts,487,3,useEffect,prev-line
package,packages/core/src/useScrape.ts,550,3,useEffect,prev-line
package,packages/core/src/useSearch.ts,312,3,useEffect,prev-line
package,packages/core/src/useSystemInfo.ts,236,3,useEffect,prev-line
package,packages/core/src/useSystemMonitor.ts,260,3,useEffect,prev-line
package,packages/core/src/useTray.ts,72,3,useEffect,prev-line
package,packages/data/src/hooks.ts,22,3,useEffect,prev-line
package,packages/data/src/Spreadsheet.tsx,172,3,useEffect,prev-line
package,packages/data/src/Spreadsheet.tsx,197,3,useEffect,prev-line
package,packages/finance/src/feeds.ts,249,3,useEffect,prev-line
package,packages/finance/src/feeds.ts,270,3,useEffect,prev-line
package,packages/finance/src/feeds.ts,370,3,useEffect,prev-line
package,packages/finance/src/hooks.ts,241,3,useEffect,prev-line
package,packages/finance/src/hooks.ts,281,3,useEffect,prev-line
package,packages/finance/src/hooks.ts,364,3,useEffect,prev-line
package,packages/finance/src/storage.ts,158,3,useEffect,prev-line
package,packages/finance/src/storage.ts,206,3,useEffect,prev-line
package,packages/geo/src/hooks.ts,121,3,useEffect,prev-line
package,packages/geo/src/hooks.ts,140,3,useEffect,prev-line
package,packages/geo/src/hooks.ts,169,3,useEffect,prev-line
package,packages/geo3d/src/hooks.ts,32,3,useEffect,prev-line
package,packages/imaging/src/hooks.ts,122,3,useEffect,prev-line
package,packages/imaging/src/hooks.ts,141,3,useEffect,prev-line
package,packages/physics/src/hooks.ts,40,3,useEffect,prev-line
package,packages/router/src/components.tsx,140,3,React.useEffect,prev-line
package,packages/router/src/context.tsx,33,3,useEffect,prev-line
package,packages/rss/src/hooks.ts,44,3,useEffect,prev-line
package,packages/rss/src/hooks.ts,149,3,useEffect,prev-line
package,packages/server/src/hooks.ts,69,3,useEffect,prev-line
package,packages/server/src/hooks.ts,262,3,useEffect,prev-line
package,packages/storage/src/hooks.ts,119,5,useEffect,prev-line
package,packages/storage/src/hooks.ts,153,5,useEffect,prev-line
package,packages/theme/src/ThemeProvider.tsx,195,3,useEffect,prev-line
